reviewID,reviewerID,reviewContent,rating,usefulCount,date,reviewerID,firstCount,reviewCount,Filtered
--nesJwSC-KvykKDaUhHXg,XeaO7K7faXC6XcGMCe5KmQ,is there really a lazy river here,3,1,1/11/2008,XeaO7K7faXC6XcGMCe5KmQ,12,61,0
--S8K-2VFaiRE0E417mFJA,8NhB1izDL08RFQL3OmxUuw,Food is great and innovative.  Have yet to be dissapointed.  Gets quite busy at times.  Not all servers were great but none the less I am happy.,4,0,3/10/2011,8NhB1izDL08RFQL3OmxUuw,25,152,1
--U7mIanQb-IXTBifsqeSw,vrLS2nLGDzSrlMgSGzh-UA,Excellent doctors and awesome staff... Highly recommended...,5,0,12/7/2010,vrLS2nLGDzSrlMgSGzh-UA,10,108,1
--XOdQUkJXX0QSZovFF40g,bdHbRb8k9Nl18W7UBH37aQ,Everything went well as planned.  Comfort and information was provided.  Couldn't ask for more as far as shoulder surgery is considered.  Dr. Snyder was great.,5,0,12/27/2011,bdHbRb8k9Nl18W7UBH37aQ,43,260,0
-0HaxXVHsb5QZ1vc4tmWBQ,aKY4eFOJeCaXnw1jGPozTw,My favorite part of this restaurant is in the summer- great for hangout in the back deck.  My husband really likes to watch the planes land.  The food is okay.  I got the Salmon and it was not presentable at all- alittle pricey.   Staff is friendly and service fast.,4,0,1/15/2012,aKY4eFOJeCaXnw1jGPozTw,154,678,0
-0iLH7iQNYtoURciDpJf6w,7dwh3pL2tbSeSvL0qLzUrw,I forgot when Cheesefake factory turned from a family style restaurant into a snooty upscale" italian style restaurant. Whenever it was it was a day that will forever be labeled as a catastrophic error in strategy. Your business model is not impressive. You way overcharge for food thats quality is essentially macorni grill and you are the baker's square of cheesecake. That means you should be somewhere in those caliber of dining establishments. Prices and light fixtures are unable to convince me otherwise.",3,0,8/18/2011,7dwh3pL2tbSeSvL0qLzUrw,24,461,0
-0jddDDkxvL8ugI3UCkeOA,G7tZEGH2UeYasoFjKXqJcQ,Boasts international flavors.  Started with the cheese ans sausage soup topped with a few kernels of popcorn.  Interesting touch and complimentry flavors.  Light soup not heavy cheesy.  Also ordered the falafels which came atop salad with a light tangy yogurt dressing.  The spices in the dense falafels were superb.  I like my falafels more dense and meat-like and this was right on.  Didn't taste too fried or cornmealy. The tab came with a dark chocolate truffle bite.  Mmmmm.  Before I give more than 3 stars i'd need to try dinner.,3,0,7/20/2011,G7tZEGH2UeYasoFjKXqJcQ,13,103,0
-0MlrpuonhR_zTqGqJqY-Q,S2pVqyGE9JDGhYtFO-W6BQ,Decent basic airport bar. Be patient with the bartenders!! They take food orders and have to walk next door to make the orders and pick them up!!,2,1,6/30/2012,S2pVqyGE9JDGhYtFO-W6BQ,4,24,0
-13QoRkVWB0rO0E5mEPXWg,-3s52C4zL_DHRK0ULG6qtg,Strange place. jam packed with anything you would need for a dog but got just an odd vibe overall. The discount card they offer is a little ridic though. for every 250$ you spend you get 10$ back...we are a no frills dog family...,3,1,3/18/2012,-3s52C4zL_DHRK0ULG6qtg,106,1032,0
-1f99oKf8R5ARYuMBnAcuQ,f0wMiYtH3R6LGnNVRYG1bQ,Food is ok but really doesn't have much flavor. Staff was friendly and price is reasonable.,2,0,2/6/2010,f0wMiYtH3R6LGnNVRYG1bQ,2,70,1
-1jP5OQmhu-2q5wQIT1s7w,LcVX5dauEj520I56PfpPvQ,I'm not a fried chicken eater. But I stopped here for lunch and I ordered the Deep fried breaded Chicken Chunks and oh my they were delicious. I also had a small cole slaw that was perfect..,4,0,7/15/2011,LcVX5dauEj520I56PfpPvQ,16,115,1
-1kmwGmFi1rQXvFarNWIQw,bAQDB1qrktXHEJcyd82Gng,Would have been 4 stars but the parking at this location is tiny. Three stalls and one handicapped one. This is a pull out along Sorrento Valley Blvd. where you can park and eat lunch or take a short hike up the hill and get a great view of the Los Penasquitos Valley below. No official access to the Los Penasquitos Preserve from this location but plenty of well-worn ruts down into the valley. Try something different for lunch if you work nearby and get out of the office for that hour.,3,2,5/17/2007,bAQDB1qrktXHEJcyd82Gng,294,660,0
-1kV2nHwhn5NkWFTVMfhMQ,XOcQ4IcLf2Sxlh3OI3PpKg,Easy company to buy or sell your coins to.  Kenny is one of the nicest people i've had the chance to work with and he always makes sure your transaction goes through without a hitch.  I just sold 10 of our pieces for a nice 70% profit since we'd had them since 2004.  My husband appreciates all the updates we get too!  Bravo.,5,0,12/15/2011,XOcQ4IcLf2Sxlh3OI3PpKg,0,4,1
-1kxGws-Wk_Yo7TVFQWYoQ,x_axtCj_KMcWdf1WQ6BbdQ,Two-story target in Nicollet mall. 'nuff said! It's very well-organized here. The flow of the store makes sense. Staff are friendly and the store itself is very clean.   I'm going to stay in downtown MSP everytime so I can be close to this Target :),4,0,4/26/2012,x_axtCj_KMcWdf1WQ6BbdQ,9,132,0
-1SzQiHzwUu9VczKDSBkaA,ZdkzBEMzY1DL4-snIRZThQ,I usually come here during the week and after 6pm. There are always people running in and out but I can always find a place to sit. Service is good and the baristas are quick and efficient. This location is pretty small.,4,1,4/8/2012,ZdkzBEMzY1DL4-snIRZThQ,9,261,0
